query,location
"West Dundee, IL intitle:""helpful links""","West Dundee, IL"
"West Feliciana, LA intitle:""helpful links""","West Feliciana, LA"
"West Hartford, CT intitle:""helpful links""","West Hartford, CT"
"West Hollywood, CA intitle:""helpful links""","West Hollywood, CA"
"West Jordan, UT intitle:""helpful links""","West Jordan, UT"
"West Lafayette, IN intitle:""helpful links""","West Lafayette, IN"
"West Linn, OR intitle:""helpful links""","West Linn, OR"
"West Palm Beach, FL intitle:""helpful links""","West Palm Beach, FL"
"West Seneca, NY intitle:""helpful links""","West Seneca, NY"
"Westborough, MA intitle:""helpful links""","Westborough, MA"
